ratio,value,Vef_[fl],Vef_err,k,k_err,C_[nM],C_err,D_[um^2/s],D_err,a,a_err,y
0,11215.995,0.34,0.0088,6.508,0.32,10.2,0.044,32,0.36,7087,31,0.09
0.1,9980.9694,,,,,,,,,,,
0.25,8855.4893,,,,,,,,,,,
0.5,6507.7258,,,,,,,,,,,
0.6,5790.0403,,,,,,,,,,,
0.75,4096.453,,,,,,,,,,,
1,1822.8123,,,,,,,,,,,
1.5,1270.2682,,,,,,,,,,,
2.5,1190.5262,,,,,,,,,,,
5,1213.9553,,,,,,,,,,,
7.5,1103.6987,,,,,,,,,,,
9,1157.2983,,,,,,,,,,,
10,1199.7116,,,,,,,,,,,
