ratio,value,Vef_[fl],Vef_err,k,k_err,C_[nM],C_err,D_[um^2/s],D_err,a,a_err,y
0,27208.5973,0.31,0.011,6.1,0.33,14.8,0.088,140,2.1,12730,76,0.085
0.1,25119.6571,,,,,,,,,,,
0.25,22565.8839,,,,,,,,,,,
0.5,17127.7497,,,,,,,,,,,
0.6,14798.788,,,,,,,,,,,
0.75,12450.3873,,,,,,,,,,,
1,7863.4325,,,,,,,,,,,
1.5,3972.4372,,,,,,,,,,,
2.5,2863.0376,,,,,,,,,,,
5,2656.3947,,,,,,,,,,,
7.5,2595.3543,,,,,,,,,,,
9,2599.3524,,,,,,,,,,,
10,2461.3285,,,,,,,,,,,
