ratio,value,Vef_[fl],Vef_err,k,k_err,C_[nM],C_err,D_[um^2/s],D_err,a,a_err,y
0,24108.7223,0.36,0.017,6.1,0.18,13.8,0.095,42,0.63,11983,83,0.09
0.1,21627.1609,,,,,,,,,,,
0.25,17905.4529,,,,,,,,,,,
0.5,13383.6072,,,,,,,,,,,
0.6,10909.022,,,,,,,,,,,
0.75,7764.7253,,,,,,,,,,,
1,3835.2067,,,,,,,,,,,
1.5,2710.3548,,,,,,,,,,,
2.5,2320.6153,,,,,,,,,,,
5,2249.8799,,,,,,,,,,,
7.5,2108.1818,,,,,,,,,,,
9,2144.7658,,,,,,,,,,,
10,2242.3626,,,,,,,,,,,
