ratio,value,Vef_[fl],Vef_err,k,k_err,C_[nM],C_err,D_[um^2/s],D_err,a,a_err,y
0,18597.7488,0.221,0.0068,6.2,0.17,8.89,0.061,125,1.7,13558,94,0.08
0.1,17172.8999,,,,,,,,,,,
0.25,15450.2687,,,,,,,,,,,
0.5,12416.4854,,,,,,,,,,,
0.6,11787.785,,,,,,,,,,,
0.75,10272.9979,,,,,,,,,,,
1,8524.8129,,,,,,,,,,,
1.5,5818.5607,,,,,,,,,,,
2.5,3369.8098,,,,,,,,,,,
5,2274.6339,,,,,,,,,,,
7.5,2090.0737,,,,,,,,,,,
9,2269.8022,,,,,,,,,,,
10,2027.9632,,,,,,,,,,,
