ratio,value,Vef_[fl],Vef_err,k,k_err,C_[nM],C_err,D_[um^2/s],D_err,a,a_err,y
0,19693.3689,0.18,0.0069,5.215,0.24,11.6,0.069,118,1,12418,80,0.09
0.1,18513.5122,,,,,,,,,,,
0.25,16908.8756,,,,,,,,,,,
0.5,13875.378,,,,,,,,,,,
0.6,12140.7825,,,,,,,,,,,
0.75,10308.8094,,,,,,,,,,,
1,8300.0067,,,,,,,,,,,
1.5,4671.6712,,,,,,,,,,,
2.5,2568.9062,,,,,,,,,,,
5,2079.3732,,,,,,,,,,,
7.5,1950.9783,,,,,,,,,,,
9,1940.1947,,,,,,,,,,,
10,1945.4132,,,,,,,,,,,
