ratio,value,Vef_[fl],Vef_err,k,k_err,C_[nM],C_err,D_[um^2/s],D_err,a,a_err,y
0,14667.4557,0.271,0.0068,6.2,0.17,9.91,0.088,78,1.1,10025,90,0.09
0.1,14378.2487,,,,,,,,,,,
0.25,13691.4121,,,,,,,,,,,
0.5,12593.4958,,,,,,,,,,,
0.6,11898.2749,,,,,,,,,,,
0.75,11357.1912,,,,,,,,,,,
1,10384.8445,,,,,,,,,,,
1.5,8333.7123,,,,,,,,,,,
2.5,6385.9961,,,,,,,,,,,
5,4412.499,,,,,,,,,,,
7.5,3755.11,,,,,,,,,,,
9,3349.7934,,,,,,,,,,,
10,3117.4312,,,,,,,,,,,
