ratio,value,Vef_[fl],Vef_err,k,k_err,C_[nM],C_err,D_[um^2/s],D_err,a,a_err,y
0,17736.7834,0.296,0.011,6.9,0.42,9.23,0.066,119,1.7,11580,82,0.105
0.1,16199.273,,,,,,,,,,,
0.25,13438.9534,,,,,,,,,,,
0.5,8875.1258,,,,,,,,,,,
0.6,7507.3733,,,,,,,,,,,
0.75,5899.7416,,,,,,,,,,,
1,3933.3504,,,,,,,,,,,
1.5,3052.3941,,,,,,,,,,,
2.5,2337.0555,,,,,,,,,,,
5,2066.3867,,,,,,,,,,,
7.5,2139.2701,,,,,,,,,,,
9,2257.4859,,,,,,,,,,,
10,1960.3627,,,,,,,,,,,
