ratio,value,Vef_[fl],Vef_err,k,k_err,C_[nM],C_err,D_[um^2/s],D_err,a,a_err,y
0,27262.086,0.3,0.011,6.1,0.33,14.8,0.088,140,2.1,12730,76,0.085
0.1,25085.6573,,,,,,,,,,,
0.25,22927.825,,,,,,,,,,,
0.5,17393.4206,,,,,,,,,,,
0.6,15063.1069,,,,,,,,,,,
0.75,12865.2832,,,,,,,,,,,
1,9210.6559,,,,,,,,,,,
1.5,5655.8782,,,,,,,,,,,
2.5,3333.2564,,,,,,,,,,,
5,2708.9082,,,,,,,,,,,
7.5,2553.981,,,,,,,,,,,
9,2524.7903,,,,,,,,,,,
10,2576.5668,,,,,,,,,,,
