ratio,value,Vef_[fl],Vef_err,k,k_err,C_[nM],C_err,D_[um^2/s],D_err,a,a_err,y
0,18383.8126,0.32,0.016,6.92,0.47,9.03,0.036,68,0.54,12821,51,0.12
0.1,16072.3577,,,,,,,,,,,
0.25,13027.5042,,,,,,,,,,,
0.5,8170.606,,,,,,,,,,,
0.6,6110.7439,,,,,,,,,,,
0.75,4223.7249,,,,,,,,,,,
1,2757.5382,,,,,,,,,,,
1.5,2383.9817,,,,,,,,,,,
2.5,2371.6037,,,,,,,,,,,
5,2222.0684,,,,,,,,,,,
7.5,2267.9512,,,,,,,,,,,
9,2201.4447,,,,,,,,,,,
10,2179.6737,,,,,,,,,,,
