ratio,value,Vef_[fl],Vef_err,k,k_err,C_[nM],C_err,D_[um^2/s],D_err,a,a_err,y
0,19038.2334,0.211,0.0068,6.2,0.17,10,0.1,141,2.1,12354,130,0.085
0.1,17719.5592,,,,,,,,,,,
0.25,15900.5938,,,,,,,,,,,
0.5,12938.2071,,,,,,,,,,,
0.6,12005.8856,,,,,,,,,,,
0.75,10374.6727,,,,,,,,,,,
1,8032.6961,,,,,,,,,,,
1.5,5858.8008,,,,,,,,,,,
2.5,3335.423,,,,,,,,,,,
5,2242.4716,,,,,,,,,,,
7.5,2092.5837,,,,,,,,,,,
9,1985.848,,,,,,,,,,,
10,2084.7228,,,,,,,,,,,
