wt_%,D_Na_[um2/s],D_Na_err_[um2/s],D_crowder_[um2/s],D_crowder_err_[um2/s]
0,1425.622636,57.95748743,NaN,NaN
1,1350.939,41.10896,48.33738,0.2722403
1.5,1317.229,44.475,42.58814,0.195804
3,1230.692,51.81707,34.05125,0.1287156
4.5,1143.098,60.38996,27.25999,0.09414467
6,1103.484,51.75613,22.01754,0.08534701
7.5,1081.718,58.04884,18.34714,0.06751444
9,1023.523,74.80227,15.50811,0.05352057
10.5,956.2622,31.88202,13.266,0.05189269
12,926.2368,64.83392,11.50678,0.1188428
