wt_%,D_Na_[um2/s],D_Na_err_[um2/s],D_crowder_[um2/s],D_crowder_err_[um2/s]
0,1425.622636,57.95748743,NaN,NaN
2.5,1395.54,30.1036,321.2102,0.8646983
5,1236.255,57.11665,294.1201,0.8131634
7.5,1194.54,87.02829,266.2855,0.8320201
10,1107.938,139.2537,239.8183,0.7639115
12.5,1042.486,83.72489,219.9866,0.7250464
15,895.3644,62.98626,198.7878,0.7772366
17.5,787.373,82.02902,176.2156,0.6089334
