wt_%,D_Na_[um2/s],D_Na_err_[um2/s],D_crowder_[um2/s],D_crowder_err_[um2/s]
0,1425.622636,57.95748743,NaN,NaN
1,1412.326,38.60817,586.6107,2.625764
2.5,1284.268,34.60799,563.1332,2.004906
5,1255.048,43.33636,526.791,2.182739
7.5,1191.785,49.04247,494.573,1.811948
10,1142.151,63.22156,462.2113,2.106704
12.5,1063.23,45.44351,427.1637,2.412526
15,948.4644,24.12609,409.2443,2.766944
17.5,905.7463,35.35792,373.3122,1.742018
