wt_%,D_Na_[um2/s],D_Na_err_[um2/s],D_crowder_[um2/s],D_crowder_err_[um2/s]
0,1425.622636,7.75E+01,NaN,NaN
1,1.29E+03,6.84E+01,3.41E+01,6.07E-01
1.5,1.35E+03,7.02E+01,3.27E+01,4.88E-01
3,1.30E+03,6.00E+01,2.83E+01,4.49E-01
4.5,1.14E+03,7.02E+01,2.51E+01,4.04E-01
6,1.17E+03,6.37E+01,2.22E+01,4.67E-01
7.5,1.10E+03,1.55E+02,1.79E+01,4.24E-01
9,1.16E+03,9.67E+01,1.53E+01,2.73E-01
10.5,1.06E+03,1.35E+02,1.35E+01,2.31E-01
12,9.17E+02,2.09E+02,1.11E+01,2.27E-01
