wt_%,D_Na_[um2/s],D_Na_err_[um2/s],D_crowder_[um2/s],D_crowder_err_[um2/s]
0,1425.622636,57.95748743,NaN,NaN
1,1408.725,48.31753,209.6395,0.4563473
2.5,1263.897,31.75123,192.4216,0.4450424
5,1291.545,63.95792,170.4939,0.3451991
7.5,1059.311,56.60522,146.7729,0.4590985
10,1031.989,160.9147,132.5024,0.3341285
12.5,920.6009,104.0047,113.9629,0.2330715
15,831.2803,58.79731,104.9818,0.135397
17.5,791.2082,107.5737,90.81203,0.1881599
