wt_%,D_Na_[um2/s],D_Na_err_[um2/s],D_crowder_[um2/s],D_crowder_err_[um2/s]
0,1425.622636,3.04E+01,NaN,Nan
1,1.45E+03,8.84E+01,1.49E+02,4.39E+00
1.5,1.33E+03,7.99E+01,1.42E+02,3.50E+00
3,1.30E+03,1.25E+02,1.33E+02,2.26E+00
4.5,1.22E+03,1.13E+02,1.27E+02,3.12E+00
6,1.21E+03,1.30E+02,1.17E+02,2.34E+00
7.5,1.07E+03,1.58E+02,1.08E+02,2.16E+00
9,1.11E+03,1.60E+02,9.74E+01,1.70E+00
10.5,1.14E+03,1.91E+02,9.04E+01,1.88E+00
