wt_%,D_Na_[um2/s],D_Na_err_[um2/s],D_crowder_[um2/s],D_crowder_err_[um2/s]
0,1425.622636,57.95748743,NaN,NaN
1,1404.893,40.60137,1130.168,9.433115
2.5,1371.396,63.06617,1108.53,5.155624
5,1233.606,78.98292,1053.002,5.673018
7.5,1207.081,62.7149,1034.283,5.759318
10,1190.504,54.94062,935.5658,8.514335
12.5,1178.218,52.83052,908.5158,2.680997
15,1139.362,69.55412,873.5522,4.754103
17.5,1011.19,89.59287,829.9191,2.833893
