wt_%,D_Na_[um2/s],D_Na_err_[um2/s],D_crowder_[um2/s],D_crowder_err_[um2/s]
0,1425.622636,57.95748743,NaN,NaN
1,1396.039,40.08799,140.5048,0.7246556
2.5,1303.903,60.23015,124.4383,0.8642762
5,1129.841,41.32521,104.9814,0.8735839
7.5,1167.718,28.10469,88.05931,0.5398656
10,1005.529,56.50352,76.2356,1.036625
12.5,817.3478,124.1451,62.83493,0.09712536
15,914.8877,85.39384,52.50672,0.5540733
17.5,719.2418,104.2175,46.41629,0.3430315
