wt_%,D_Na_[um2/s],D_Na_err_[um2/s],D_crowder_[um2/s],D_crowder_err_[um2/s]
0,1425.622636,57.95748743,NaN,NaN
1,1402.733,34.11418,52.5272,0.2217704
2.5,1261.46,31.09033,41.52797,0.2023373
5,1200.921,51.46414,28.48297,0.1203482
7.5,1121.302,49.8803,21.16601,0.157146
10,1114.616,80.19681,15.30379,0.09075359
12.5,1018.805,91.13175,12.31574,0.08423427
15,814.4471,96.00002,9.234479,0.04489974
17.5,557.4829,101.1451,6.99963,0.05143058
