wt_%,D_Na_[um2/s],D_Na_err_[um2/s],D_crowder_[um2/s],D_crowder_err_[um2/s]
0,1425.622636,57.95748743,NaN,NaN
1,1416.517,54.52711,269.7773,1.24308
2.5,1318.934,36.10924,248.0723,0.7531779
5,1211.422,45.78276,219.511,0.676671
7.5,1117.179,54.89611,197.6797,0.7879672
10,978.2867,86.62137,179.4441,0.6469413
12.5,1049.735,71.11386,159.9954,0.7907356
15,975.2591,77.80059,145.0408,0.9056535
17.5,793.0835,98.47512,134.9738,0.4818771
