wt_%,D_Na_[um2/s],D_Na_err_[um2/s],D_crowder_[um2/s],D_crowder_err_[um2/s]
0,1425.622636,57.95748743,NaN,NaN
1,1365.076,37.30372,30.83452,0.0554656
1.5,1404.515,45.1706,26.34168,0.04030757
3,1237.399,35.69728,18.37717,0.02588202
4.5,1289.842,62.48437,13.03956,0.06133369
6,1126.24,58.7444,10.01745,0.02530698
7.5,1070.834,67.87951,7.38044,0.02917036
9,1018.327,54.78158,5.757198,0.03024629
10.5,937.7465,22.12949,4.838043,0.01034551
12,833.8939,32.2632,3.729871,0.0175474
