wt_%,D_Na_[um2/s],D_Na_err_[um2/s],D_crowder_[um2/s],D_crowder_err_[um2/s]
0,1425.622636,57.95748743,NaN,NaN
1,1353.543,40.59109,87.11014,0.280196
2.5,1251,30.25597,73.67058,0.5013474
5,1188.793,20.87428,55.8254,0.1163613
7.5,1012.123,72.49846,44.2634,0.6169116
10,975.7383,121.4885,34.7301,0.192047
12.5,898.4824,53.4206,27.38628,0.1283395
15,761.9202,56.79781,23.45039,0.2319777
17.5,840.4688,82.82219,19.46471,0.2810309
