wt_%,D_Na_[um2/s],D_Na_err_[um2/s],D_crowder_[um2/s],D_crowder_err_[um2/s]
0,1425.622636,57.95748743,NaN,NaN
5,1316.606,123.6023,379.0415,1.608337
7.5,1220.45,89.03697,346.6394,1.977278
10,1095.975,171.7284,316.9287,2.477743
12.5,1060.581,149.5683,288.4228,2.316511
15,1009.054,155.9032,267.9333,1.231642
17.5,796.0997,107.002,236.0154,1.735857
