ratio,value,Vef_[fl],Vef_err,k,k_err,C_[nM],C_err,D_[um^2/s],D_err,a,a_err,y
0,12266.1001,0.271,0.0068,6.2,0.17,8.8,0.05,53,0.59,9133,52,0.08
0.1,12059.6447,,,,,,,,,,,
0.25,11531.2565,,,,,,,,,,,
0.5,11491.7082,,,,,,,,,,,
0.6,11431.5666,,,,,,,,,,,
0.75,11224.7842,,,,,,,,,,,
1,11294.7584,,,,,,,,,,,
1.5,11295.8131,,,,,,,,,,,
2.5,11341.4814,,,,,,,,,,,
5,10607.5730,,,,,,,,,,,
7.5,9856.7140,,,,,,,,,,,
9,9515.5687,,,,,,,,,,,
10,9340.0443,,,,,,,,,,,
