ratio,value,Vef_[fl],Vef_err,k,k_err,C_[nM],C_err,D_[um^2/s],D_err,a,a_err,y
0,17792.6388,0.34,0.011,6.815,0.36,9.33,0.059,84,1.1,12392,77,0.105
0.1,15820.2521,,,,,,,,,,,
0.25,12785.5817,,,,,,,,,,,
0.5,7415.1795,,,,,,,,,,,
0.6,5663.3458,,,,,,,,,,,
0.75,2981.0658,,,,,,,,,,,
1,2406.127,,,,,,,,,,,
1.5,2104.3831,,,,,,,,,,,
2.5,2158.2662,,,,,,,,,,,
5,1967.2276,,,,,,,,,,,
7.5,2043.6629,,,,,,,,,,,
9,2046.8675,,,,,,,,,,,
10,1930.0825,,,,,,,,,,,
