ratio,value,Vef_[fl],Vef_err,k,k_err,C_[nM],C_err,D_[um^2/s],D_err,a,a_err,y
0,14271.2509,0.32,0.017,6.956,0.49,10.4,0.062,28,0.35,7462,44,0.11
0.1,13449.3725,,,,,,,,,,,
0.25,11533.3873,,,,,,,,,,,
0.5,8707.6328,,,,,,,,,,,
0.6,8143.9528,,,,,,,,,,,
0.75,6450.0167,,,,,,,,,,,
1,4362.8525,,,,,,,,,,,
1.5,1935.9679,,,,,,,,,,,
2.5,1744.2634,,,,,,,,,,,
5,1711.7174,,,,,,,,,,,
7.5,1575.6914,,,,,,,,,,,
9,1667.9939,,,,,,,,,,,
10,1591.2274,,,,,,,,,,,
