ratio,value,Vef_[fl],Vef_err,k,k_err,C_[nM],C_err,D_[um^2/s],D_err,a,a_err,y
0,18640.2634,0.335,0.016,6.92,0.47,9.26,0.049,74,0.64,12681,67,0.11
0.1,16556.815,,,,,,,,,,,
0.25,13411.3232,,,,,,,,,,,
0.5,8258.8016,,,,,,,,,,,
0.6,5908.4868,,,,,,,,,,,
0.75,3919.8175,,,,,,,,,,,
1,2790.3123,,,,,,,,,,,
1.5,2440.8024,,,,,,,,,,,
2.5,2237.2171,,,,,,,,,,,
5,2130.0772,,,,,,,,,,,
7.5,2175.1241,,,,,,,,,,,
9,2127.6027,,,,,,,,,,,
10,2134.5564,,,,,,,,,,,
