ratio,value,Vef_[fl],Vef_err,k,k_err,C_[nM],C_err,D_[um^2/s],D_err,a,a_err,y
0,21495.3897,0.25,0.017,6.956,0.49,9.26,0.085,90,1.7,13166,122,0.085
0.1,18811.705,,,,,,,,,,,
0.25,16787.4717,,,,,,,,,,,
0.5,12520.6471,,,,,,,,,,,
0.6,10112.0195,,,,,,,,,,,
0.75,8842.7545,,,,,,,,,,,
1,5408.2065,,,,,,,,,,,
1.5,2476.3071,,,,,,,,,,,
2.5,2322.9815,,,,,,,,,,,
5,1928.1718,,,,,,,,,,,
7.5,1906.0499,,,,,,,,,,,
9,1827.4313,,,,,,,,,,,
10,1841.4466,,,,,,,,,,,
