ratio,value,Vef_[fl],Vef_err,k,k_err,C_[nM],C_err,D_[um^2/s],D_err,a,a_err,y
0,14647.1719,0.271,0.0068,6.2,0.17,8.39,0.054,73,0.79,11452,74,0.09
0.1,14064.9352,,,,,,,,,,,
0.25,13115.0322,,,,,,,,,,,
0.5,12228.2274,,,,,,,,,,,
0.6,11997.5875,,,,,,,,,,,
0.75,11737.1376,,,,,,,,,,,
1,11398.6396,,,,,,,,,,,
1.5,10101.6325,,,,,,,,,,,
2.5,7690.7440,,,,,,,,,,,
5,5066.0130,,,,,,,,,,,
7.5,5002.5210,,,,,,,,,,,
9,4756.4761,,,,,,,,,,,
10,4687.0033,,,,,,,,,,,
