ratio,value,Vef_[fl],Vef_err,k,k_err,C_[nM],C_err,D_[um^2/s],D_err,a,a_err,y
0,20418.6665,0.259,0.0092,6.5,0.25,14.5,0.086,66,0.53,11051,59,0.11
0.1,19401.0948,,,,,,,,,,,
0.25,17803.7028,,,,,,,,,,,
0.5,13626.0249,,,,,,,,,,,
0.6,12715.7745,,,,,,,,,,,
0.75,10763.4799,,,,,,,,,,,
1,7769.4875,,,,,,,,,,,
1.5,3456.1790,,,,,,,,,,,
2.5,2788.3047,,,,,,,,,,,
5,2519.3926,,,,,,,,,,,
7.5,2379.3430,,,,,,,,,,,
9,2310.7923,,,,,,,,,,,
10,2324.5021,,,,,,,,,,,
